Assay,Comparison 1: Group 1 Mean,Comparison 1: Group 2 Mean,Comparison 1: Group 1 v. Group 2 Log2 Fold Change,Comparison 1: Group 1 v. Group 2 P-value,Comparison 1: Group 1 v. Group 2 FDR-adj. P-value,Comparison 1: Group 1 Missing Values,Comparison 1: Group 2 Missing Values,Comparison 2: Group 1 Mean,Comparison 2: Group 2 Mean,Comparison 2: Group 3 Mean,Comparison 2: Group 1 v. Group 2 Log2 Fold Change,Comparison 2: Group 1 v. Group 3 Log2 Fold Change,Comparison 2: Group 2 v. Group 3 Log2 Fold Change,Comparison 2: Group 1 v. Group 2 P-value,Comparison 2: Group 1 v. Group 3 P-value,Comparison 2: Group 2 v. Group 3 P-value,Comparison 2: Group 1 v. Group 2 FDR-adj. P-value,Comparison 2: Group 1 v. Group 3 FDR-adj. P-value,Comparison 2: Group 2 v. Group 3 FDR-adj. P-value,Comparison 2: Group 1 Missing Values,Comparison 2: Group 2 Missing Values,Comparison 2: Group 3 Missing Values,Comparison 3: Group 1 Mean,Comparison 3: Group 2 Mean,Comparison 3: Group 1 v. Group 2 Log2 Fold Change,Comparison 3: Group 1 v. Group 2 P-value,Comparison 3: Group 1 v. Group 2 FDR-adj. P-value,Comparison 3: Group 1 Missing Values,Comparison 3: Group 2 Missing Values,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6
ABCF3,0.4385172208333337,0.3214098167000006,0.11710740413333315,0.5303286740378518,0.7577129597981062,0 / 3,0 / 5,0.4385172208333337,0.16417770383333394,0.5111344971666673,0.2076728503333331,-0.07261727633333354,-0.3469567933333333,0.3900563623449222,0.6562555240449115,0.0800141792666919,0.5990151278868447,0.7932221090337865,0.2946109076507412,0 / 3,0 / 3,0 / 3,0.4688875195000007,0.4456284525000004,0.0232590670000003,0.8545148746834338,0.8596302641402626,0 / 2,0 / 2,0.6222314835000002,0.1710886955000008,0.3450217245000005,-0.0975103374999992,0.5188875195000007,0.3956284525000004
ABHD8,-0.2995351516666663,3.5415651478000014,-3.841100299466668,0.02698546130751647,0.19339580603720136,0 / 3,0 / 5,-0.2995351516666663,3.0308964690000018,4.214125026666668,-3.3970982873333346,-4.5136601783333345,-1.1832285576666663,0.12221581418087071,1.5722453675397133e-07,0.5257554260155163,0.29229096817393824,3.4277606447246693e-06,0.6423591592339845,0 / 3,0 / 3,0 / 3,4.077238748000002,4.337897584000001,-0.2606588359999993,0.23321081309588101,0.33426883210409614,0 / 2,0 / 2,-0.266041285,-0.2665228849999988,4.784410951000002,-0.3761324949999985,4.127238748000002,4.287897584000001
ACAD9,-0.09632367883333386,-0.3198119933,0.22348831446666612,0.8851689793743202,0.9283479539779455,0 / 3,0 / 5,-0.09632367883333386,-1.2736641895,1.1060231845,1.1106738439999992,-1.2023468633333338,-2.379687374,0.5641799951943713,0.029900907805029554,0.2363726082699949,0.7581168685424365,0.11688536687420643,0.4390036813162468,0 / 3,0 / 3,0 / 3,1.1461369515,0.8757956505,0.270341301,0.22555082481277736,0.33426883210409614,0 / 2,0 / 2,0.2873787884999999,-0.7637286135000014,0.4798502925000001,-4.6806931535,1.1961369515,0.8257956504999999
ACSM5,-0.05403903350000002,-0.1559867669000004,0.10194773340000038,0.8791399550122594,0.9283479539779455,0 / 3,0 / 5,-0.05403903350000002,-0.3935426395000004,0.004245630833332986,0.27283693933333375,-0.05828466433333301,-0.3977882703333334,0.7585975116109299,0.943853152587372,0.3987325079355951,0.931991228550571,0.9663258466965952,0.5530805755235675,0 / 3,0 / 3,0 / 3,-0.3379571915000003,0.5386512754999996,-0.8766084669999998,0.07231046058181743,0.18893286181913735,0 / 2,0 / 2,0.7337994575,-1.5297160155,-0.0010085105000001,-1.078610897500001,-0.2879571915000003,0.4886512754999996
ADGRF2,0.3110685828333338,0.014036436300000399,0.2970321465333334,0.5650461903875728,0.7592808183333009,0 / 3,0 / 5,0.3110685828333338,0.270979611166667,-0.27998086583333304,-0.026577694999999957,0.5910494486666669,0.5509604770000001,0.9593899253621967,0.16206201242911022,0.38088861222867326,0.9593899253621967,0.3871481408028744,0.5459403441944317,0 / 3,0 / 3,0 / 3,-0.047185945500000104,-0.8955707064999989,0.8483847609999988,0.07469438723082174,0.18893286181913735,0 / 2,0 / 2,0.4433600905000006,0.1464855675000001,0.7695138455000006,-0.6260888575000001,0.0028140544999999,-0.945570706499999
AFTPH,-0.3579157511666668,0.7400879099000002,-1.098003661066667,0.002240125151391875,0.02408134537746266,0 / 3,0 / 5,-0.3579157511666668,0.5357419335000002,1.0711525598333334,-0.9603243513333337,-1.4290683110000002,-0.5354106263333331,0.00809491680294489,0.0069143210328196664,0.06155992918947991,0.07281224820040608,0.04173790448090227,0.26470769551476364,0 / 3,0 / 3,0 / 3,1.1702439304999999,0.7229698185000004,0.44727411199999945,0.14003035274259623,0.22301130251598658,0 / 2,0 / 2,-0.4996976855000002,0.0256481175000002,0.5423617365000002,0.6225023275000003,1.2202439305,0.6729698185000004
AHI1,-1.8529916151666672,-0.17025268610000016,-1.682738929066667,0.24380057769493407,0.6361092173617493,0 / 3,0 / 5,-1.8529916151666672,-0.2542208355000001,0.22411301849999965,-1.6654374463333337,-2.077104633666667,-0.4783338539999997,0.3791307062157085,0.3049709893050798,0.5969612981748788,0.5990151278868447,0.5986591386187863,0.6423591592339845,0 / 3,0 / 3,0 / 3,0.8109399794999994,-1.0995409034999999,1.9104808829999993,0.03329210639988052,0.14860525790907012,0 / 2,0 / 2,-3.430460933500001,1.4019470215,-0.6754646305000005,0.6882667545000007,0.8609399794999995,-1.1495409035
AJM1,0.8645057355000008,-0.6059863850999989,1.4704921205999997,0.09467876607867687,0.37842221448874014,0 / 3,0 / 5,0.8645057355000008,0.09187409050000155,-1.4985513361666662,0.7059649783333326,2.363057071666667,1.5904254266666678,0.14684775577616868,0.01689608543140539,0.026270555528566147,0.33233965780922387,0.07265316735504317,0.14120423596604303,0 / 3,0 / 3,0 / 3,-1.1400998115,-2.3654543854999988,1.2253545739999987,0.05183904345665237,0.14860525790907012,0 / 2,0 / 2,1.297978877500001,0.0975594515000004,0.1841530795000015,0.0073161125000016,-1.0900998115,-2.415454385499999
AKAP5,0.5259705061666659,0.03986861169999958,0.4861018944666663,0.5143538856617313,0.7577129597981062,0 / 3,0 / 5,0.5259705061666659,0.3987130001666661,-0.13294240716666697,0.060590839333333035,0.6589129133333328,0.531655407333333,0.8777394382577313,0.5041388080854309,0.5975434039385902,0.955250035190063,0.6828827672778062,0.6423591592339845,0 / 3,0 / 3,0 / 3,0.6479687204999995,-1.8447646625,2.4927333829999996,0.025525336689428423,0.14860525790907012,0 / 2,0 / 2,0.402324437499999,0.8732626434999995,0.7391121384999995,-0.1820852765000005,0.6979687204999996,-1.8947646625
ALPK2,0.23445507716666636,0.07065336249999961,0.16380171466666676,0.6867603882338453,0.8437341912587243,0 / 3,0 / 5,0.23445507716666636,0.11932926183333314,0.0452905024999993,0.04845914866666656,0.18916457466666706,0.07403875933333384,0.923510889717023,0.5623856496612143,0.8844271652144843,0.955250035190063,0.7112524392774181,0.9054849548624482,0 / 3,0 / 3,0 / 3,0.19059248049999927,-0.3953134535000007,0.5859059339999999,0.10761863806664665,0.21548492012968087,0 / 2,0 / 2,0.4520063404999997,-0.1006474495000003,0.5776467324999999,-0.6973056795000003,0.2405924804999993,-0.4453134535000007
AMELY,0.04764585466666663,0.2690139008,-0.22136804613333336,0.24590719502349345,0.6361092173617493,0 / 3,0 / 5,0.04764585466666663,0.38437744766666687,0.07974548366666619,-0.403398259666667,-0.032099628999999553,0.3046319640000007,0.007520670362585668,0.8271695693573294,0.10008646147722748,0.07281224820040608,0.8675193044479308,0.2946109076507412,0 / 3,0 / 3,0 / 3,0.09729928999999939,-0.10536212900000021,0.2026614189999996,0.2918143365899644,0.3744436794794254,0 / 2,0 / 2,0.0385904310000002,0.1657567019999995,0.3640327450000003,0.5250668530000002,0.1472992899999994,-0.1553621290000002
ANAPC10,-0.19521573383333327,0.3508346751000005,-0.5460504089333338,0.28420072072317176,0.6361092173617493,0 / 3,0 / 5,-0.19521573383333327,0.6685175578333334,-0.09768292049999922,-0.9303999583333334,-0.09753281333333405,0.7662004783333327,0.10147942932975207,0.7844513080888955,0.11525559879098776,0.29229096817393824,0.8491509930367828,0.2946109076507412,0 / 3,0 / 3,0 / 3,0.008330536500000596,-0.45970983449999886,0.46804037099999946,0.13400332849052476,0.22162088942663713,0 / 2,0 / 2,-0.4042134285000003,0.3227796555000007,1.0374302865,0.0306921005000004,0.0583305365000006,-0.5097098344999988
ANKRD20A1,-3.5679440854999993,-0.46138942669999966,-3.1065546587999995,0.16090637266336466,0.4942124303231914,0 / 3,0 / 5,-3.5679440854999993,0.8262324015,-1.5389399201666663,-4.460843153666666,-2.0290041653333333,2.365172321666666,0.04074823846281543,0.4359389258714149,0.2812979781481812,0.19896595199023237,0.6828827672778062,0.4652235792450689,0 / 3,0 / 3,0 / 3,0.21882457750000023,-5.204468915499999,5.423293492999999,0.01173728913096354,0.14860525790907012,0 / 2,0 / 2,-4.9504261055,-0.7029800454999986,1.2758760455,0.0269451135,0.2688245775000002,-5.254468915499999
ANKRD26P1,0.7302259281666662,0.40076252869999934,0.32946339946666686,0.5070410289893978,0.7577129597981062,0 / 3,0 / 5,0.7302259281666662,0.7527137271666656,-0.0686417108333335,-0.08915446566666618,0.7988676389999997,0.8213554379999991,0.8252053716092445,0.04976295042868857,0.12627046751129015,0.955250035190063,0.17831723903613406,0.30164611683252646,0 / 3,0 / 3,0 / 3,0.09840340549999989,-0.5527319435000002,0.6511353490000001,0.09701274730463184,0.21548492012968087,0 / 2,0 / 2,0.6825907224999996,0.9254963394999997,1.132445334499999,0.0932505124999991,0.1484034054999999,-0.6027319435000003
ANKRD28,0.48993417416666657,0.6726587010999995,-0.1827245269333329,0.32871868742093563,0.6361092173617493,0 / 3,0 / 5,0.48993417416666657,0.739290285166666,0.5559265934999996,-0.31602277766666614,-0.06599241933333305,0.18336369166666633,0.1201834917876465,0.7534126043968034,0.2116782140163659,0.29229096817393824,0.8491509930367828,0.4234060002331769,0 / 3,0 / 3,0 / 3,0.5723571304999993,0.3730655195000001,0.19929161099999915,0.2960717465651271,0.3744436794794254,0 / 2,0 / 2,0.6923806665000001,0.1850411894999997,0.7847645284999993,0.7483417984999994,0.6223571304999993,0.3230655195000001
ANKRD34B,0.6806412223333331,-0.02956498139999999,0.7102062037333331,0.0014574680797370015,0.02408134537746266,0 / 3,0 / 5,0.6806412223333331,-0.2328091779999999,0.2398455463333332,0.8467837336666664,0.4407956759999999,-0.4726547243333331,0.00023248317630175907,0.007765191531330655,0.019144951778769514,0.00499838829048782,0.04173790448090227,0.14120423596604303,0 / 3,0 / 3,0 / 3,0.2189340119999999,0.13166861499999982,0.08726539700000008,0.5432254859577091,0.5839673974045373,0 / 2,0 / 2,0.727401972,0.6871197229999995,-0.2698142529999998,-0.0587990280000001,0.2689340119999999,0.0816686149999998
ANKRD34C,-0.037193012666666865,0.389856262,-0.42704927466666687,0.4781186827610274,0.7577129597981062,0 / 3,0 / 5,-0.037193012666666865,0.8054203666666666,-0.042215792333333245,-0.9092800460000002,0.00502277966666638,0.8476361589999999,0.05021559831997357,0.9934031137296191,0.21662632570069518,0.20160207108211978,0.9934031137296191,0.4234060002331769,0 / 3,0 / 3,0 / 3,0.3903324130000001,-1.057312203,1.447644616,0.043906498979467766,0.14860525790907012,0 / 2,0 / 2,0.2148013109999996,-0.4411816599999998,1.077257633,0.3617458339999997,0.4403324130000001,-1.107312203
ANKRD36BP1,0.29105278650000005,-0.3424650958999996,0.6335178823999996,0.10560619939220654,0.37842221448874014,0 / 3,0 / 5,0.29105278650000005,-0.6520692831666662,0.15853408183333348,0.8764554029999996,0.13251870466666657,-0.8106033649999997,0.05157262283496088,0.6640929284934027,0.09780241313627863,0.20160207108211978,0.7932221090337865,0.2946109076507412,0 / 3,0 / 3,0 / 3,0.2817198755000001,-0.23783750549999982,0.5195573809999999,0.12105087531820614,0.21977245247294058,0 / 2,0 / 2,0.1717219354999999,0.6297144885000003,-0.9028244024999994,-0.0505590444999999,0.3317198755000001,-0.2878375054999998
ANKRD45,0.19355015816666643,0.21982161570000044,-0.026271457533334014,0.9771021702145111,0.9771021702145111,0 / 3,0 / 5,0.19355015816666643,1.0347223765000004,-1.4251240568333323,-0.9078388850000007,1.6186742149999986,2.4598464333333325,0.041644036463071896,0.09894391424656479,0.025165365167659857,0.19896595199023237,0.2836392208401524,0.14120423596604303,0 / 3,0 / 3,0 / 3,-2.220313119499999,0.015254068500000204,-2.235567187999999,0.028457909091658486,0.14860525790907012,0 / 2,0 / 2,-0.0505244725000002,0.7816994194999998,0.9735572345000004,1.2570526605,-2.170313119499999,-0.0347459314999998
ANLN,-3.838595741666668,0.8422699163999996,-4.680865658066668,4.063950266339515e-08,1.7474986145259914e-06,0 / 3,0 / 5,-3.838595741666668,0.9225816406666661,0.6653045336666662,-4.827844049000001,-4.503900275333334,0.25727710699999995,6.249922738631418e-07,1.5943072766161252e-07,0.02026916103037549,2.68746677761151e-05,3.4277606447246693e-06,0.14120423596604303,0 / 3,0 / 3,0 / 3,0.6023089409999993,0.6412957189999997,-0.03898677800000039,0.763342135433074,0.8005783371615167,0 / 2,0 / 2,-3.805101875000002,-3.805583475000001,1.014025211,0.8396944999999985,0.6523089409999994,0.5912957189999997
APBB1,-0.1716165860000001,0.2255304527999998,-0.3971470387999999,0.14429025348899988,0.47726776154053807,0 / 3,0 / 5,-0.1716165860000001,0.23813570366666648,0.1404750663333331,-0.4764189563333332,-0.3120916523333332,0.09766063733333338,0.2010834492510117,0.31845542108880454,0.4758751898061385,0.3930267417178865,0.5986591386187863,0.6200797927776956,0 / 3,0 / 3,0 / 3,0.05818004599999979,0.1550651069999997,-0.09688506099999991,0.5100711873013577,0.5623861808707278,0 / 2,0 / 2,-0.3920958040000002,0.3693418500000001,0.4041633609999997,0.006080389,0.1081800459999998,0.1050651069999997
APEX2,-0.5621384316666668,1.3710665886000009,-1.9332050202666675,0.29441128899456703,0.6361092173617493,0 / 3,0 / 5,-0.5621384316666668,2.694272167666668,-0.6407599149999995,-3.323077266000001,0.07862148333333274,3.3350320826666673,0.12235435877048578,0.49786512914688996,0.11647407976889769,0.29229096817393824,0.6828827672778062,0.2946109076507412,0 / 3,0 / 3,0 / 3,-0.6447961849999999,-0.782687374999999,0.13789118999999905,0.39944420809792075,0.45200265653185795,0 / 2,0 / 2,-0.5286445650000005,-0.5291261649999992,4.410776139000001,-0.6387357749999989,-0.5947961849999999,-0.832687374999999
APLF,-0.4234439833333328,-1.9404780195999998,1.517034036266667,0.3713947810949585,0.6654156494618007,0 / 3,0 / 5,-0.4234439833333328,-1.5248958559999997,-2.8550298733333332,1.0347852060000002,2.4315858900000005,1.3301340173333336,0.6395111701788463,0.17777203974433486,0.44253167744812666,0.8270886314573436,0.4023261952108631,0.5946519415709202,0 / 3,0 / 3,0 / 3,-3.38738709,-1.94031544,-1.4470716499999998,0.0439238285880939,0.14860525790907012,0 / 2,0 / 2,1.05069256,-3.271717069999999,-2.97567081,1.476654052000001,-3.33738709,-1.99031544
APOBEC2,0.1553880060000001,-0.11875083920000026,0.27413884520000037,0.08431392933450904,0.37842221448874014,0 / 3,0 / 5,0.1553880060000001,-0.07848297733333366,-0.26358839700000025,0.1672043166666671,0.4189764030000004,0.1851054196666666,0.27792356598870693,0.0025695702782807216,0.3092084898967758,0.4780285335005759,0.027622880491517756,0.4748558951986199,0 / 3,0 / 3,0 / 3,-0.38245992700000037,-0.175845337,-0.20661459000000038,0.28696281939410057,0.3744436794794254,0 / 2,0 / 2,0.2487187390000001,0.0687265400000001,-0.1810507770000003,0.2266526219999996,-0.3324599270000004,-0.225845337
APTX,-0.8631895701666665,0.6742922973000008,-1.5374818674666675,0.013152573310358712,0.11311213046908493,0 / 3,0 / 5,-0.8631895701666665,0.8298318861666677,0.30867198316666705,-1.759688123000001,-1.1718615533333336,0.5211599030000007,0.031098131978439122,0.007364530944726859,0.3408309797212179,0.19103138215326887,0.04173790448090227,0.5053700733797369,0 / 3,0 / 3,0 / 3,0.09405012150000029,0.5879157065000007,-0.4938655850000004,0.1271858790197229,0.21977245247294058,0 / 2,0 / 2,-1.0121917725,-0.4651851654999994,1.346699714500001,-0.1039037704999988,0.1440501215000003,0.5379157065000006
AQP1,0.4876363756666668,-0.9796821414000003,1.4673185170666672,0.3402444651004705,0.6361092173617493,0 / 3,0 / 5,0.4876363756666668,-0.26220801700000024,-3.018696438333334,0.6831777260000004,3.5063328140000007,2.7564884213333336,0.422308143110307,0.1419372009219871,0.197632795253719,0.6162380534449023,0.3590176258614968,0.4234060002331769,0 / 3,0 / 3,0 / 3,-4.894302659,0.5825160029999996,-5.4768186619999994,0.011622605745385258,0.14860525790907012,0 / 2,0 / 2,-0.1931891439999998,1.949287415,-0.0231547360000004,-0.640314579,-4.844302659,0.5325160029999996
AREL1,-1.2782265655000018,-0.7018998915000008,-0.576326674000001,0.7612790854451685,0.8847297479497905,0 / 3,0 / 5,-1.2782265655000018,-1.5524371795,0.5531336788333318,0.2075439473333318,-1.8313602443333337,-2.1055708583333317,0.9330349180926196,0.3341353331825784,0.2552346984396784,0.955250035190063,0.5986591386187863,0.4390036813162468,0 / 3,0 / 3,0 / 3,0.5615889554999984,0.38622312549999827,0.17536583000000017,0.3299263041873991,0.39407864111272667,0 / 2,0 / 2,0.4367318154999982,-4.608143327500001,0.0802206994999998,-4.7177529375,0.6115889554999985,0.3362231254999983
ARFGEF2,-0.3338678199999996,-0.4198232937999994,0.0859554737999998,0.8458772658776181,0.9283479539779455,0 / 3,0 / 5,-0.3338678199999996,-0.9131806216666658,0.17307515133333348,0.5126461349999994,-0.5069429713333331,-1.0862557729999993,0.16140941924720245,0.09458261293386097,0.02456316705665822,0.3341191781429898,0.2836392208401524,0.14120423596604303,0 / 3,0 / 3,0 / 3,-0.0711999419999999,0.5116253380000002,-0.5828252800000001,0.10817662154728203,0.21548492012968087,0 / 2,0 / 2,-0.4614017009999998,0.0211999420000008,-1.133414506999999,-0.3727128509999993,-0.0211999419999999,0.4616253380000002
AAAS,-0.7386830166666667,-0.3575356764000001,-0.3811473402666666,0.3082682164048316,0.6361092173617493,0 / 3,0 / 5,-0.7386830166666667,-0.4618013216666668,-0.3464136596666667,-0.3435483616666666,-0.392269357,-0.11538766200000011,0.48474787738304886,0.43060827318667594,0.5545631288823616,0.6723922170151969,0.6828827672778062,0.6423591592339845,0 / 3,0 / 3,0 / 3,-0.586966562,-0.0153078550000003,-0.5716587069999997,0.11024809867099952,0.21548492012968087,0 / 2,0 / 2,-1.112022638,0.107996226,-0.3085172170000003,-0.6683695309999997,-0.5369665619999999,-0.0653078550000003
AAGAB,0.3828496615000015,-0.26715190909999886,0.6500015706000004,0.29835135819558317,0.6361092173617493,0 / 3,0 / 5,0.3828496615000015,-0.35272092849999903,0.06535406116666813,0.6689039233333338,0.31749560033333335,-0.4180749896666672,0.3448791901625746,0.6970192236680861,0.5731252217018358,0.5703771221919504,0.8100493680466947,0.6423591592339845,0 / 3,0 / 3,0 / 3,0.5236589435000016,-1.001255703499999,1.5249146470000006,0.041688205152175126,0.14860525790907012,0 / 2,0 / 2,0.9446644785000018,-0.640779972499999,-0.6926560404999993,0.4271492955000014,0.5736589435000017,-1.051255703499999
AASDH,0.19736525183333312,-0.21410921129999974,0.41147446313333286,0.489444263187476,0.7577129597981062,0 / 3,0 / 5,0.19736525183333312,0.2803538318333338,-0.7720859528333334,-0.14965524666666738,0.9694512046666665,1.052439784666667,0.08329088429250028,0.13569352410876157,0.11512877500603183,0.29229096817393824,0.3590176258614968,0.2946109076507412,0 / 3,0 / 3,0 / 3,-0.35465030650000007,-1.7569572455,1.4023069389999998,0.04532131361647245,0.14860525790907012,0 / 2,0 / 2,0.2781434054999998,0.1358089444999999,0.2565975185000005,0.4278664585000005,-0.3046503065000001,-1.8069572455
ABCB5,-0.028675428999999236,-0.49306915319999967,0.4643937242000004,0.520035915489429,0.7577129597981062,0 / 3,0 / 5,-0.028675428999999236,0.13693472500000012,-1.4061536473333325,-0.232276820666666,1.3774782183333332,1.5430883723333326,0.6539770574313879,0.010657946211193153,0.03907108189710859,0.8270886314573436,0.050921298564589504,0.18667294684174102,0 / 3,0 / 3,0 / 3,-1.292311000999999,-1.7838389399999999,0.4915279390000009,0.1277746816703143,0.21977245247294058,0 / 2,0 / 2,-0.1919274329999991,0.3978285790000005,-0.2748737339999998,1.060551643,-1.242311000999999,-1.83383894
ABCC6,-2.373645654666667,0.4613488385999996,-2.8349944932666666,0.07673494415453677,0.37842221448874014,0 / 3,0 / 5,-2.373645654666667,0.998768933333333,-0.5994076413333338,-3.4390812546666667,-1.774238013333333,1.5981765746666667,0.10656289261964023,0.3490577565871489,0.020572113734231394,0.29229096817393824,0.600379341329896,0.14120423596604303,0 / 3,0 / 3,0 / 3,-1.058660317,0.1690977099999984,-1.2277580269999984,0.051738010283599686,0.14860525790907012,0 / 2,0 / 2,-0.6887531280000001,-5.643430708,1.281972408,0.5323619839999996,-1.008660317,0.1190977099999984
ABCC8,-0.6523742981666657,-0.09510114729999981,-0.5572731508666658,0.8211869930458617,0.9283479539779455,0 / 3,0 / 5,-0.6523742981666657,1.2431707068333333,-3.1644359934999997,-1.9622116716666658,2.512061695333334,4.407606700333333,0.4299335256592342,0.447010518484905,0.08943229884556254,0.6162380534449023,0.6828827672778062,0.2946109076507412,0 / 3,0 / 3,0 / 3,-5.2382901235,0.833272266500001,-6.07156239,0.010484323077341677,0.14860525790907012,0 / 2,0 / 2,1.632748604500001,-5.122620103499999,1.3433513645,1.1428093915,-5.1882901235,0.7832722665000009
ABCF2,-2.1134675654999993,-0.0005950738999998539,-2.1128724915999992,0.10391448451084137,0.37842221448874014,0 / 3,0 / 5,-2.1134675654999993,0.2993952111666668,-0.49684489549999994,-2.4795294433333326,-1.6166226699999993,0.7962401066666667,0.163174482348902,0.3271516968146211,0.009497034346162942,0.3341191781429898,0.5986591386187863,0.14120423596604303,0 / 3,0 / 3,0 / 3,-0.5393736835000003,-0.5617873194999994,0.022413635999999126,0.8596302641402626,0.8596302641402626,0 / 2,0 / 2,-0.6158680914999994,-5.0086665135,0.1942706105000003,0.6096444124999998,-0.4893736835000002,-0.6117873194999994
ABLIM3,-0.6155421261666674,0.16836053829999925,-0.7839026644666667,0.053895245999051225,0.33107079685131463,0 / 3,0 / 5,-0.6155421261666674,-0.12372941983333414,0.3384666758333328,-0.558479373,-0.9540088020000002,-0.4621960956666669,0.011866394499158935,0.07798066601811376,0.30639442936737904,0.08504249391063903,0.2579360491368379,0.4748558951986199,0 / 3,0 / 3,0 / 3,-0.1475909235000003,1.160581874499999,-1.3081727979999993,0.048570348123606735,0.14860525790907012,0 / 2,0 / 2,-0.680533886500001,-0.3855586055,-0.1439595225000012,0.0167307855,-0.0975909235000003,1.110581874499999
