Assay,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7
ABCF3,0.6222314835000002,0.1710886955000008,0.3450217245000005,-0.09751033749999927,0.5188875195000007,0.3956284525000004,0.3450217245000005
ABHD5,,,0.3309984205000003,,,0.1893143655000005,
ABHD8,-0.266041285,-0.2665228849999988,4.784410951000002,-0.3761324949999985,4.127238748000002,4.287897584000001,4.784410951000002
ACAD9,0.2873787884999999,-0.7637286135000014,0.4798502925000001,-4.6806931535,1.1961369515,0.8257956504999999,0.4798502925000001
ACSM5,0.7337994575,-1.5297160155,-0.00100851050000017,-1.078610897500001,-0.2879571915000003,0.4886512754999996,-0.00100851050000017
ADGRF2,0.4433600905000006,,0.7695138455000006,-0.6260888575000001,0.002814054499999941,-0.945570706499999,0.7695138455000006
AFTPH,-0.4996976855000002,0.02564811750000029,0.5423617365000002,0.6225023275000003,1.2202439305,0.6729698185000004,0.5423617365000002
AHI1,-3.430460933500001,1.4019470215,-0.6754646305000005,0.6882667545000007,0.8609399794999995,-1.1495409035,-0.6754646305000005
AJM1,1.297978877500001,0.09755945150000045,0.1841530795000015,0.007316112500001637,-1.0900998115,-2.415454385499999,0.1841530795000015
AKAP5,0.402324437499999,0.8732626434999995,0.7391121384999995,-0.1820852765000005,0.6979687204999996,-1.8947646625,0.7391121384999995
ALPK2,0.4520063404999997,-0.1006474495000003,0.5776467324999999,-0.6973056795000003,0.2405924804999993,-0.4453134535000007,0.5776467324999999
AMELY,0.03859043100000026,0.1657567019999995,0.3640327450000003,0.5250668530000002,,-0.1553621290000002,0.3640327450000003
ANAPC10,-0.4042134285000003,0.3227796555000007,1.0374302865,0.03069210050000049,0.05833053650000064,-0.5097098344999988,1.0374302865
ANKRD20A1,-4.9504261055,-0.7029800454999986,1.2758760455,0.02694511350000006,0.2688245775000002,-5.254468915499999,1.2758760455
ANKRD26P1,0.6825907224999996,0.9254963394999995,1.132445334499999,0.09325051249999916,0.1484034054999999,-0.6027319435000003,1.132445334499999
ANKRD28,0.6923806665000001,0.1850411894999997,0.7847645284999993,0.7483417984999994,0.6223571304999993,0.3230655195000001,0.7847645284999993
ANKRD34B,0.727401972,0.6871197229999995,-0.2698142529999998,-0.05879902800000014,0.2689340119999999,0.08166861499999989,-0.2698142529999998
ANKRD34C,0.2148013109999996,-0.4411816599999998,1.077257633,0.3617458339999997,0.4403324130000001,-1.107312203,1.077257633
ANKRD36BP1,0.1717219354999999,0.6297144885000003,-0.9028244024999994,-0.05055904449999993,0.3317198755000001,-0.2878375054999998,-0.9028244024999994
