Assay,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7
ABCF3,2.842861389319596,2.768611914017107,2.731466204428227,2.7194469743381977,2.8227875483246794,2.858266457626631,2.731466204428227
ABHD8,2.652175131746933,2.672857027463539,3.4699760364356824,2.6570867866783683,3.4173303809931825,3.4781569132519174,3.4699760364356824
ACAD9,2.7739042024005403,2.555743060218906,2.7604617726434735,1.0021769423829414,2.954667376719046,2.9414071941013598,2.7604617726434735
ACSM5,2.8651238105942003,2.3543716711001696,2.654268766223095,2.486740734341689,2.6481057108385335,2.87665593060836,2.654268766223095
ADGRF2,2.806436364713511,2.7633937851230774,2.8208518080693703,2.598752140890354,2.7135216325509584,2.563215622851612,2.8208518080693703
AFTPH,2.597528021744392,2.7374875011907043,2.773709967181434,2.86912433528395,2.9591465664750567,2.9124153451460164,2.773709967181434
AHI1,1.6423427715856596,3.0081601568944785,2.4907796162480293,2.8820521704811424,2.8909007263700275,2.5125468297944558,2.4907796162480293
AJM1,2.9727226723163276,2.752960519193744,2.696090394413828,2.7422281891889413,2.450563100156142,2.150673997017146,2.696090394413828
AKAP5,2.7979486404099316,2.9100981493331215,2.8146309901419295,2.700801020949385,2.8588488780580557,2.3106430450218016,2.8146309901419295
ALPK2,2.808218384626105,2.7099044796152425,2.781134629560182,2.5816905202275784,2.7648952486712624,2.6804352612816102,2.781134629560182
AMELY,2.720448095837516,2.7674826411872413,2.7355900828774122,2.8497551547246123,2.744956139171861,2.744256719396473,2.7355900828774122
ANAPC10,2.6201103672391994,2.8003740396481263,2.8745434198140045,2.747259649420308,2.7256810734927077,2.6658694353448866,2.8745434198140045
ANKRD20A1,0.679656515374523,2.5705723828595866,2.9207042829220886,2.7464543259199115,2.770875244509986,0.6792772361839096,2.9207042829220886
ANKRD26P1,2.854948186331055,2.9200888018012328,2.893114829199743,2.7606390708844994,2.7451937351849103,2.644565656332026,2.893114829199743
ANKRD28,2.8568990909317113,2.771562762621397,2.8239623392533866,2.8937612001808692,2.8437328794841834,2.843757123888723,2.8239623392533866
ANKRD34B,2.8638564903345674,2.8739215304545516,2.591312350826683,2.7279017890173374,2.7708983762739656,2.794410634998431,2.591312350826683
ANKRD34C,2.7585133549832244,2.6327914577629654,2.8823570978429935,2.816693729200495,2.806680075853888,2.5231840524412843,2.8823570978429935
ANKRD36BP1,2.749299640741849,2.8625793776443715,2.4312101044127776,2.729695079618066,2.784108989314849,2.715447257054987,2.4312101044127776
ANKRD45,2.700808110446306,2.892416309772511,2.861923210440203,2.9892781780274498,2.13293240886582,2.7699960159427306,2.861923210440203
ANLN,1.457900282521165,1.5047969283253881,2.8699317869316223,2.911386295338121,2.8497396949795446,2.896679107633098,2.8699317869316223
APBB1,2.622951114337571,2.8099849385105156,2.744256719396473,2.74196172244724,2.736512666404876,2.7992679085804775,2.744256719396473
APEX2,2.5906115746989484,2.612188412174786,3.4204900660093327,2.595736979058822,2.57569904542359,2.590510727854091,3.4204900660093327
APLF,2.9265454550111163,1.7534820123830084,1.7314482598628325,3.028634101448945,1.6866156641079662,2.282585339054438,1.7314482598628325
APOBEC2,2.7657263572730892,2.7467765146830394,2.6124067520313106,2.7887621101497513,2.6378267736791865,2.7290003603704327,2.6124067520313106
APTX,2.4698840719938775,2.6271972092477833,2.934135340745876,2.7180458250086406,2.744256719396473,2.8863007873960522,2.934135340745876
AQP1,2.668798846150992,3.1031145693472135,2.649184541140208,2.595360132299179,0.7757596542368319,2.885246788947672,2.649184541140208
AREL1,2.805068763873233,1.0252325159412028,2.67276508516152,0.9752342451364504,2.8415672025374143,2.846398909270763,2.67276508516152
ARFGEF2,2.6066276484861794,2.736524924199701,2.368172218875893,2.657868729346967,2.708230071726979,2.8713373485381757,2.368172218875893
AAAS,2.443649566241175,2.7551924522436644,2.582017245381849,2.58864719136271,2.5896262606289406,2.763517461850401,2.582017245381849
AAGAB,2.906284332134755,2.5855997271317226,2.4863603348293877,2.830024582022301,2.8339127849473686,2.53718435654166,2.4863603348293877
AASDH,2.771954831601482,2.7611234723171854,2.7121287288999536,2.8301700770753477,2.6442586275513498,2.335954525474979,2.7121287288999536
ABCB5,2.6690850680388234,2.8158334692945783,2.5901006368121364,2.9531283129343233,2.4098207551699944,2.328252631526343,2.5901006368121364
ABCC6,2.551745189712108,0.0,2.9218653330138915,2.8512143929455322,2.4718985276657475,2.802173347740011,2.9218653330138915
ABCC8,3.032970618543196,0.6048404969401225,2.933503165062636,2.968371465997902,0.4521777517196926,2.933398615989418,2.933503165062636
ABCF2,2.569567980621718,0.7090825501209616,2.698341035297455,2.866583157602399,2.600988137388117,2.6424749064062394,2.698341035297455
ABLIM3,2.5537661148298705,2.6456721732840847,2.6211308292675115,2.744256719396473,2.691266829530108,2.9939257660887066,2.6211308292675115
ABRA,2.746846974669668,2.744256719396473,2.6904705234297452,2.7750813502282288,2.5935789609689905,2.7279042551301536,2.6904705234297452
ACBD7,2.744256719396473,3.102899833074448,2.7828539496540095,2.8592179564625297,2.6962079032981516,3.064469837567312,2.7828539496540095
ACIN1,2.619447681465233,2.915304353375638,2.8798069918003684,2.7399105490937825,2.83394896572177,2.7442527153162724,2.8798069918003684
ACOT12,2.881623548614027,2.7995336581673436,2.87554194478334,2.7222137657706202,2.8760530130345536,2.4413506973236627,2.87554194478334
ACSM1,2.6973584946427915,2.7174071079423765,2.706153321407656,2.7021189562818657,2.6835146505899554,2.697264840453717,2.706153321407656
ACTR5,2.6367203878406698,2.665846806159683,2.8328837135727043,2.7954437761553725,2.8430530539752215,2.8395840037761673,2.8328837135727043
ADCY3,2.805068763873233,1.0252325159412028,2.67276508516152,0.9752342451364504,2.8415672025374143,2.846398909270763,2.67276508516152
