Majority Protein ID,Comparison 1: Group 1 Mean,Comparison 1: Group 2 Mean,Comparison 1: Group 1 v. Group 2 Log2 Fold Change,Comparison 1: Group 1 v. Group 2 P-value,Comparison 1: Group 1 v. Group 2 FDR-adj. P-value,Comparison 1: Group 1 Missing Values,Comparison 1: Group 2 Missing Values,Comparison 1: Group 1 Imputed Values,Comparison 1: Group 2 Imputed Values,Comparison 2: Group 1 Mean,Comparison 2: Group 2 Mean,Comparison 2: Group 1 v. Group 2 Log2 Fold Change,Comparison 2: Group 1 v. Group 2 P-value,Comparison 2: Group 1 v. Group 2 FDR-adj. P-value,Comparison 2: Group 1 Missing Values,Comparison 2: Group 2 Missing Values,Comparison 2: Group 1 Imputed Values,Comparison 2: Group 2 Imputed Values,Comparison 3: Group 1 Mean,Comparison 3: Group 2 Mean,Comparison 3: Group 1 v. Group 2 Log2 Fold Change,Comparison 3: Group 1 v. Group 2 P-value,Comparison 3: Group 1 v. Group 2 FDR-adj. P-value,Comparison 3: Group 1 Missing Values,Comparison 3: Group 2 Missing Values,Comparison 3: Group 1 Imputed Values,Comparison 3: Group 2 Imputed Values,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
A2A432,28.241886473896262,28.350826364536186,-0.10893989063992393,0.282209512075778,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,28.241886473896262,28.389310220306193,-0.14742374640993106,0.20805653590450582,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,28.241886473896262,28.370068292421188,-0.12818181852492572,0.1518756940467942,0.8121075939774349,0 / 5,0 / 10,0 / 5,0 / 10,28.38807212873655,28.188839587946877,28.42398124454216,28.396639959355273,28.296551883047417,28.177081627825707,28.163626847637993,28.294794282122034,28.32620797315655,28.254164446005397,28.521321872127412,28.358335466564657,28.00692898774607,28.452624197437196,28.660944789441892
A2A5R2,28.341163057734832,28.354178561409633,-0.013015503674800755,0.934085129665269,0.9742608341670009,0 / 5,0 / 5,0 / 5,0 / 5,28.341163057734832,28.363076246802642,-0.021913189067809924,0.8716631365023889,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,28.341163057734832,28.358627404106137,-0.01746434637130534,0.8781734725997995,0.8830864963133167,0 / 5,0 / 10,0 / 5,0 / 10,28.406111341349913,28.50523553130969,28.50203021185813,28.567282077952243,27.985949765094063,28.473175012372632,28.55378299501354,28.49332417457036,28.397017508650546,27.943847563146427,28.478683969391405,28.184090922030062,28.23479131121202,28.30769936668264,28.25906757910184
A2A690,27.327301781237942,27.45412350072612,-0.1268217194881771,0.49977566188187816,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,27.327301781237942,27.336483990373853,-0.009182209135911279,0.9419854120608677,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,27.327301781237942,27.395303745549985,-0.06800196431204242,0.6111737562922964,0.8121075939774349,0 / 5,0 / 10,0 / 5,0 / 10,27.484516679242866,27.56658446592887,27.46427249554902,27.658867772902095,26.907976702873256,27.16299770791301,27.22610119408629,27.586508643370355,27.36236581195446,27.231455667255663,27.729147617772764,27.267135368917735,27.03556759270278,27.480400073685367,27.425648567535028
A2A699,26.938420330304627,27.10729698686264,-0.16887665655801243,0.5337431951844147,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,26.938420330304627,26.972543935999017,-0.03412360569438988,0.859569437154265,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,26.938420330304627,27.039920461430825,-0.1015001311261976,0.6058702429513183,0.8121075939774349,0 / 5,0 / 10,0 / 5,0 / 10,27.143528035730597,27.323235106219983,27.002780562061368,27.147632718517983,26.28148020167337,26.639613121184073,27.031814703184494,27.30288757489256,26.87402699489987,27.053217632604813,27.336508128400578,27.15917250933939,26.31590856148525,27.2923739231267,27.18712649251037
A2A6T1,27.20277978367228,27.310652874768884,-0.1078730910966037,0.6572416273436528,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,27.20277978367228,27.267776382930954,-0.06499659925867363,0.7733991994553793,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,27.20277978367228,27.28921462884992,-0.08643484517763866,0.6354691620822126,0.8145577371629492,0 / 5,0 / 10,0 / 5,0 / 10,27.364831125562745,27.489700119644606,27.32551377716616,27.330762983324213,26.782366541028765,26.86372023010409,27.38997034496671,27.22330536879539,27.39747137788012,27.45793597846717,27.490052654663884,27.194036991695302,26.47039848604059,27.567839689711768,27.558139537809097
A2A8L1,27.345025445098372,27.516847638284254,-0.1718221931858821,0.43539595613877546,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,27.345025445098372,27.33575155245605,0.009273892642323034,0.9679674942729307,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,27.345025445098372,27.426299595370146,-0.0812741502717742,0.6699446470241276,0.8187327607194271,0 / 5,0 / 10,0 / 5,0 / 10,27.631080736892073,27.685555590648462,27.388921418991096,27.70205888945101,27.190124087428767,27.12850661999858,27.397823795624777,27.77204735209118,26.82280812380105,26.98292058179973,27.79703758639705,27.7590049815494,27.011243221724257,27.13947357485579,27.579516617940115
A2A8L5,27.335834163623097,27.44357138657037,-0.1077372229472715,0.6699679941495069,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,27.335834163623097,27.32403351780667,0.011800645816428812,0.9441437177111442,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,27.335834163623097,27.38380245218852,-0.047968288565421346,0.7938953501823585,0.8370418366053127,0 / 5,0 / 10,0 / 5,0 / 10,27.53961127816772,27.61635380718224,27.434039688143436,27.515995434400885,26.62895158581941,27.35423602402516,27.366233574901287,27.62381769507207,26.98203999874992,27.43887287169191,27.69489568486905,27.303734987238293,26.818457658953697,27.653838159909068,27.546116890876544
A2A8Z1,26.873290185459418,27.061485411282284,-0.18819522582286652,0.44725393871261954,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,26.873290185459418,26.879198962462407,-0.005908777002989751,0.9736563448458915,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,26.873290185459418,26.970342186872347,-0.09705200141292991,0.6008828864326498,0.8121075939774349,0 / 5,0 / 10,0 / 5,0 / 10,27.06215265797753,27.37727228568872,26.933063018523008,26.97205259372333,26.32046212483778,26.475306625314843,26.90302487222464,27.08208224967941,26.94600441902212,27.0869753097398,27.308087136707627,26.92862103134476,26.342245493631765,27.219523259497883,27.112999718107293
A2A935,27.735324418473187,27.91581504164399,-0.18049062317080455,0.4304967730199032,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,27.735324418473187,27.797649069420224,-0.062324650947036986,0.6869448299020331,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,27.735324418473187,27.85673205553211,-0.12140763705892255,0.45623019707620827,0.8121075939774349,0 / 5,0 / 10,0 / 5,0 / 10,27.792756700774476,28.042418397249843,27.851442891571743,27.933813866974138,27.225305823209197,27.557654723927836,28.043457532808812,28.13198891097663,27.942299289464376,27.603485717526095,28.04826227160781,27.71711750618353,27.3031082742824,28.13109980517648,27.919730935953663
A2AAE1,27.66181418336445,27.779021591073366,-0.1172074077089178,0.4190146887007731,0.7780711016328677,0 / 5,0 / 5,0 / 5,0 / 5,27.66181418336445,27.851909039410298,-0.19009485604584953,0.18064607249331596,0.991981568796983,0 / 5,0 / 5,0 / 5,0 / 5,27.66181418336445,27.81546531524183,-0.15365113187738189,0.242271809679751,0.8121075939774349,0 / 5,0 / 10,0 / 5,0 / 10,27.49728997834246,27.71302810250264,28.0762250812966,27.766537151476957,27.40132338750821,27.594569122756052,27.636332730500456,27.650426560583817,27.52858731178814,27.660564880128828,28.115488146208005,28.08126363416684,27.74834617637353,28.014841758564163,27.978900047043854
