Majority Protein ID,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
A2A432,291360000,204840000,304570000,265080000,317230000,275370000,235450000,253720000,271100000,258190000,280400000,292410000,271180000,271230000,357960000
A2A5R2,295780000,279870000,324590000,309450000,253370000,344510000,328820000,302300000,288030000,196230000,269180000,253260000,317330000,236120000,254770000
A2A690,127860000,97643000,129600000,123610000,113460000,122150000,91766000,125970000,107100000,95616000,117610000,109810000,139020000,91120000,113810000
A2A699,88331000,66789000,78907000,60381000,69103000,76428000,71986000,90000000,57554000,77303000,64599000,98164000,84989000,68239000,86338000
A2A6T1,112910000,87327000,112620000,80504000,102960000,93998000,110650000,81114000,111350000,122400000,83631000,101830000,94431000,102820000,131150000
A2A8L1,147940000,114730000,0,130050000,140660000,118600000,111610000,153630000,53264000,70680000,128330000,175430000,136720000,51710000,134100000
A2A8L5,135170000,104620000,125760000,103630000,91316000,143450000,107780000,131250000,67116000,119980000,112390000,113960000,119800000,115040000,129510000
A2A8Z1,80200000,73198000,72563000,43344000,71337000,65174000,60268000,66503000,63846000,80600000,61293000,76029000,86528000,60145000,78685000
A2A935,172590000,175310000,186600000,168100000,144440000,169430000,211420000,218580000,192470000,141970000,172690000,168930000,167050000,197840000,187440000
A2AAE1,129530000,118880000,227430000,140030000,164800000,174550000,143400000,135100000,128170000,150200000,185930000,232280000,226920000,175080000,198070000
A2AB59,21777000,9792700,19975000,15293000,15090000,27978000,8274100,22950000,12710000,17816000,13267000,26094000,22218000,15952000,19771000
A2ADY9,242840000,284190000,247700000,298480000,172500000,366260000,297830000,289710000,175820000,254720000,329680000,222610000,176390000,219510000,236820000
A2AF47,36789000,31179000,41580000,31580000,26373000,37185000,36121000,29795000,33441000,24773000,32908000,38104000,36010000,26691000,26670000
A2AG50,1127700000,856070000,1328600000,951850000,900050000,1453800000,826450000,757220000,851050000,1837500000,799680000,1239500000,1412800000,897100000,1038400000
A2AGT5,1038700000,1023900000,1344800000,1224600000,1152600000,1179100000,1140300000,1276500000,1115900000,802940000,1087900000,1111600000,1115100000,993080000,1233000000
A2AHC3,30334000,21159000,31680000,22453000,19613000,25140000,23798000,23844000,17584000,19104000,25354000,37955000,24951000,24454000,23298000
