Majority Protein ID,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
A2A432,28.38807212873655,28.188839587946877,28.423981244542162,28.396639959355273,28.296551883047417,28.177081627825707,28.163626847637993,28.294794282122034,28.32620797315655,28.254164446005397,28.521321872127412,28.358335466564657,28.00692898774607,28.452624197437196,28.660944789441892
A2A5R2,28.406111341349913,28.50523553130969,28.50203021185813,28.567282077952243,27.985949765094063,28.473175012372632,28.55378299501354,28.493324174570358,28.397017508650546,27.943847563146427,28.478683969391405,28.184090922030066,28.23479131121202,28.307699366682638,28.25906757910184
A2A690,27.484516679242862,27.56658446592887,27.46427249554902,27.658867772902095,26.907976702873256,27.16299770791301,27.22610119408629,27.586508643370355,27.36236581195446,27.231455667255666,27.729147617772764,27.267135368917735,27.03556759270278,27.480400073685367,27.425648567535028
A2A699,27.143528035730597,27.323235106219983,27.002780562061368,27.147632718517986,26.28148020167337,26.639613121184073,27.031814703184494,27.302887574892562,26.87402699489987,27.053217632604813,27.336508128400574,27.15917250933939,26.31590856148525,27.2923739231267,27.187126492510366
A2A6T1,27.364831125562745,27.489700119644606,27.325513777166158,27.330762983324213,26.782366541028765,26.86372023010409,27.38997034496671,27.223305368795394,27.39747137788012,27.457935978467166,27.490052654663884,27.194036991695306,26.47039848604059,27.567839689711768,27.558139537809094
A2A8L1,27.631080736892073,27.685555590648466,27.388921418991096,27.70205888945101,27.190124087428767,27.12850661999858,27.397823795624774,27.77204735209118,26.822808123801046,26.98292058179973,27.79703758639705,27.7590049815494,27.011243221724257,27.13947357485579,27.579516617940115
A2A8L5,27.539611278167722,27.61635380718224,27.434039688143436,27.515995434400885,26.62895158581941,27.35423602402516,27.366233574901287,27.62381769507207,26.982039998749922,27.43887287169191,27.69489568486905,27.303734987238293,26.818457658953697,27.653838159909068,27.546116890876544
A2A8Z1,27.06215265797753,27.377272285688722,26.933063018523008,26.972052593723326,26.32046212483778,26.475306625314843,26.90302487222464,27.082082249679406,26.94600441902212,27.086975309739802,27.308087136707627,26.92862103134476,26.342245493631765,27.219523259497883,27.112999718107293
A2A935,27.792756700774476,28.042418397249843,27.851442891571743,27.933813866974134,27.225305823209197,27.557654723927836,28.043457532808812,28.13198891097663,27.942299289464376,27.603485717526095,28.04826227160781,27.71711750618353,27.3031082742824,28.13109980517648,27.919730935953666
A2AAE1,27.49728997834246,27.71302810250264,28.076225081296602,27.766537151476957,27.40132338750821,27.594569122756052,27.636332730500456,27.650426560583817,27.52858731178814,27.660564880128828,28.115488146208005,28.081263634166838,27.74834617637353,28.014841758564163,27.978900047043854
