Modifications in Master Proteins,Comparison 1: Group 1 Mean,Comparison 1: Group 2 Mean,Comparison 1: Group 1 v. Group 2 Log2 Fold Change,Comparison 1: Group 1 v. Group 2 P-value,Comparison 1: Group 1 v. Group 2 FDR-adj. P-value,Comparison 1: Group 1 Missing Values,Comparison 1: Group 2 Missing Values,Comparison 1: Group 1 Imputed Values,Comparison 1: Group 2 Imputed Values,Comparison 2: Group 1 Mean,Comparison 2: Group 2 Mean,Comparison 2: Group 1 v. Group 2 Log2 Fold Change,Comparison 2: Group 1 v. Group 2 P-value,Comparison 2: Group 1 v. Group 2 FDR-adj. P-value,Comparison 2: Group 1 Missing Values,Comparison 2: Group 2 Missing Values,Comparison 2: Group 1 Imputed Values,Comparison 2: Group 2 Imputed Values,Sample 126,Sample 127C,Sample 127N,Sample 128C,Sample 128N,Sample 129C,Sample 129N,Sample 130C,Sample 130N,Sample 131C,Sample 131N
Q80UP8 1xPhospho [S433(94.6)],14.20798207175549,13.547856366214365,0.6601257055411249,0.4082583585615619,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.15712126175574,14.808889338214062,-1.6517680764583211,0.017601197122058262,0.021822107702887582,0 / 6,0 / 5,0 / 6,0 / 5,14.4522427102626,14.868776922391575,14.0762343022728,13.04419402231106,14.96067471425456,14.818781681394574,13.039738605060712,13.464518586435016,14.79683486529149,14.599378507738113,10.865799344192258
P18653 1xPhospho [T562(95.9)]; P18654 1xPhospho [T577(95.9)],14.110668493411133,13.876041568343059,0.23462692506807414,0.6533733592498223,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.460088244881293,14.656737866578865,-1.1966496216975724,0.004607362016296185,0.007131754977320742,0 / 6,0 / 5,0 / 6,0 / 5,14.378792856565887,14.774358780486825,14.15485713487084,13.156916913166077,14.824122308176582,14.6131928028241,13.322665823611285,13.263661550484224,14.594927384467136,14.477088056939682,12.483635190589444
Q9ERR1 1xPhospho [S198(86.1)],15.261302535303715,15.101431485788762,0.1598710495149529,0.39321279359651284,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.97251354429659,15.447978274997311,-0.4754647307007218,0.0008752364355442218,0.0022535793608708496,0 / 6,0 / 5,0 / 6,0 / 5,15.2708673013151,15.499684767008914,15.097948245017996,14.94519684428328,15.524836617665636,15.445243935861336,14.795321370114925,15.02982124376532,15.393124934862332,15.377001119588344,14.695926261282922
Q9ERR1 2xPhospho [S194(98.8); S198(90)],15.57111499690189,15.392535033127228,0.1785799637746628,0.4239123447734394,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.214969018231942,15.819910207531162,-0.60494118929922,9.622658531917102e-05,0.00040611546620417484,0 / 6,0 / 5,0 / 6,0 / 5,15.53245494612934,15.82884742364486,15.279984316279265,15.26536230645992,15.801627824093822,15.758521348302205,14.974457092129086,15.20091485333487,15.869965338074778,15.84058910354016,15.036640595059184
A2A690 1xPhospho [S1726(99.7)],15.048187894588537,14.806756756843402,0.2414311377451348,0.4257175326723883,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.619405478857425,15.321295655720728,-0.7018901768633032,0.004726513362308782,0.00729435047257803,0 / 6,0 / 5,0 / 6,0 / 5,15.201801477446784,15.427574505967184,14.576528177481574,14.796848013270266,15.438617153972697,14.957503425163216,14.49256323308103,14.581261087794092,15.45864433561088,15.324138857889674,14.067430884070824
Q6P5G0 1xPhospho [S423(100)],15.648537572279748,15.621520297304102,0.027017274975646544,0.8890838225437036,0.973315064633235,0 / 6,0 / 5,0 / 6,0 / 5,15.878990133500695,15.344977223838967,0.5340129096617279,1.2419209883191692e-05,7.598498827940952e-05,0 / 6,0 / 5,0 / 6,0 / 5,16.0079035741197,15.3384746533361,15.999776674295097,15.936121266029952,15.227692608670743,15.450555267886136,15.810952905612542,15.77868185878044,15.3286747757757,15.379488813526155,15.740504522166434
A2A6A1 1xPhospho [S648(92.8)],14.609174969729843,14.645219294800636,-0.0360443250707938,0.9045329050900295,0.9740884761657165,0 / 6,0 / 5,0 / 6,0 / 5,14.322697122980031,14.98899271090041,-0.6662955879203789,0.006697758467561717,0.009578813631339993,0 / 6,0 / 5,0 / 6,0 / 5,14.902449294136508,14.975048491797164,14.662173866501163,13.696608122772467,15.04169000265602,14.984740408466754,14.296684392057402,14.171297037159096,15.018578187535049,14.924906464047066,14.206970025253554
Q01065 1xPhospho [S18(100)],14.822561589415807,14.428899113068201,0.39366247634760576,0.26889045642074827,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.313287250326903,15.040028319974885,-0.7267410696479821,0.022705140313047947,0.027458614132972608,0 / 6,0 / 5,0 / 6,0 / 5,14.990668463965177,15.12446327669626,14.577230115309652,14.496732562852534,15.174507589139065,14.98793534843562,13.948329463244631,14.508853794972891,15.086519296031112,14.826716089572376,13.357909101616542
Q8BGF7 1xPhospho [S784(100)],14.722688335847906,14.43983019773098,0.28285813811692506,0.5417831956477197,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.060347398388075,15.234639322682778,-1.1742919242947032,0.0007157792761987218,0.0019476730831302063,0 / 6,0 / 5,0 / 6,0 / 5,14.657589096962816,15.332030944832727,14.5817115970954,13.949724628319048,15.239639893674374,15.305961196022407,13.947579472146051,13.9704717663402,15.175212196274147,15.120352382610234,13.255007829464931
Q8R0Y6 1xPhospho [S402(100)],14.645376395510409,14.517528721257937,0.12784767425247168,0.7434787298219016,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.164376603042856,15.094728472219,-0.9303518691761443,0.0023172028297458727,0.0044225236598205596,0 / 6,0 / 5,0 / 6,0 / 5,14.748053023582214,15.115319562583217,14.739071804312438,13.97392399865011,15.17713523465236,15.094177704035255,14.03262318320628,13.977287515675629,15.123513291288138,14.963496568536025,13.515300092830476
Q8BHG9 1xPhospho [S94(100)],15.198756986315836,15.117275357800043,0.08148162851579244,0.6985589395890783,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,14.962054072736558,15.401318854095175,-0.4392647813586166,0.013913710950653892,0.017849599408158962,0 / 6,0 / 5,0 / 6,0 / 5,15.42096646667776,15.450341554166078,15.199848802073198,14.584681174873202,15.484115029109626,15.392808327126271,14.749350974747504,15.03454471566382,15.370129680686013,15.309199679387875,14.782932302383871
Q99J21 1xPhospho [S547(100)],15.910646239927383,15.737969062958063,0.1726771769693194,0.36238676984979923,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,15.625703132751687,16.079900791568896,-0.4541976588172094,0.0030291647655423084,0.0052729905177958695,0 / 6,0 / 5,0 / 6,0 / 5,15.829049008746306,15.958661502825874,15.624369660918966,15.422143619957286,16.057537410069852,16.136326676260804,15.498728925859131,15.993577496032636,16.122859232946578,16.124119135741385,15.386350084995804
Q99J21 1xPhospho [S547(98)],14.301823760676776,13.988057599235386,0.31376616144138936,0.5199119707973572,0.9642740717748706,0 / 6,0 / 5,0 / 6,0 / 5,13.63014755604045,14.794069044798977,-1.1639214887585272,0.0026151451695515895,0.004787700083174334,0 / 6,0 / 5,0 / 6,0 / 5,14.578814727827664,14.854074100286097,14.093340623496555,13.325688704833404,14.964936821746178,14.789946674682144,13.149740085234514,13.672691287725316,14.771660558574435,14.589727068706024,12.960609907125244
Q9ERS5 1xPhospho [S184(100)],16.367247826611774,16.330771776440336,0.03647605017143718,0.8742404598569535,0.9696621754069952,0 / 6,0 / 5,0 / 6,0 / 5,16.63222027627123,16.012804836848993,0.6194154394222373,5.902823513382523e-05,0.00026195362716040894,0 / 6,0 / 5,0 / 6,0 / 5,16.55377779000096,16.198502461674465,16.558788698356505,16.790315314493114,15.795047299714629,16.054989673424824,16.483648992408096,16.571338705859922,15.9809217352137,16.03456301421736,16.835452156508765
